_id,user,sequence
ObjectId(575d73f01e838700114d5e73),"","[{""$oid"":""575c15557fac12000568746b""},{""$oid"":""575c15557fac120005687469""},{""$oid"":""575c15557fac12000568744d""},{""$oid"":""575c15557fac120005687465""},{""$oid"":""575c15557fac120005687471""},{""$oid"":""575c15557fac120005687473""}]"
ObjectId(575d73f11e838700114d5e74),"","[{""$oid"":""575c15557fac120005687453""},{""$oid"":""575c15557fac120005687478""},{""$oid"":""575c15557fac120005687452""},{""$oid"":""575c15557fac12000568745d""},{""$oid"":""575c6666cb4d3f00055cca43""},{""$oid"":""575c15557fac12000568745b""}]"
ObjectId(575d73f11e838700114d5e75),"","[{""$oid"":""575c15557fac12000568745c""},{""$oid"":""575c15557fac120005687458""},{""$oid"":""575c15557fac12000568746e""},{""$oid"":""575c15557fac12000568744e""},{""$oid"":""575c15557fac12000568745e""},{""$oid"":""575c15557fac12000568744f""}]"
ObjectId(575d73f11e838700114d5e76),"","[{""$oid"":""575c15557fac120005687459""},{""$oid"":""575c15557fac120005687466""},{""$oid"":""575c15557fac12000568746c""},{""$oid"":""575c15557fac120005687457""},{""$oid"":""575c15557fac12000568746a""},{""$oid"":""575c15557fac12000568746f""}]"
ObjectId(575d73f11e838700114d5e77),"","[{""$oid"":""575c15547fac12000568744b""},{""$oid"":""575c15557fac12000568745a""},{""$oid"":""575c15557fac12000568747b""},{""$oid"":""575c15557fac120005687462""},{""$oid"":""575c15557fac120005687470""},{""$oid"":""575c15557fac12000568747a""}]"
ObjectId(575d73f11e838700114d5e78),"","[{""$oid"":""575c15557fac120005687451""},{""$oid"":""575c15557fac12000568746d""},{""$oid"":""575c15547fac12000568744c""},{""$oid"":""575c15557fac120005687477""},{""$oid"":""575c15557fac120005687479""},{""$oid"":""575c15557fac120005687463""}]"
ObjectId(575d73f11e838700114d5e79),"","[{""$oid"":""575c6666cb4d3f00055cca42""},{""$oid"":""575c15557fac12000568747c""},{""$oid"":""575c15557fac120005687461""},{""$oid"":""575c15557fac120005687464""},{""$oid"":""575c15557fac120005687450""},{""$oid"":""575c15557fac120005687475""}]"
ObjectId(575d73f11e838700114d5e7a),"","[{""$oid"":""575c15557fac120005687468""},{""$oid"":""575c15557fac120005687476""},{""$oid"":""575c15557fac120005687474""},{""$oid"":""575c15557fac12000568745f""},{""$oid"":""575c15557fac120005687472""},{""$oid"":""575c15557fac120005687467""}]"
ObjectId(575d73f11e838700114d5e7b),"","[{""$oid"":""575c15557fac120005687460""},{""$oid"":""575c15557fac120005687454""},{""$oid"":""575c15557fac12000568746b""},{""$oid"":""575c15557fac120005687469""},{""$oid"":""575c15557fac12000568744d""},{""$oid"":""575c15557fac120005687465""}]"
ObjectId(575d73f11e838700114d5e7c),"","[{""$oid"":""575c15557fac120005687471""},{""$oid"":""575c15557fac120005687473""},{""$oid"":""575c15557fac120005687453""},{""$oid"":""575c15557fac120005687478""},{""$oid"":""575c15557fac120005687452""},{""$oid"":""575c15557fac12000568745d""}]"
ObjectId(575d73f11e838700114d5e7d),"","[{""$oid"":""575c6666cb4d3f00055cca43""},{""$oid"":""575c15557fac12000568745b""},{""$oid"":""575c15557fac12000568745c""},{""$oid"":""575c15557fac120005687458""},{""$oid"":""575c15557fac12000568746e""},{""$oid"":""575c15557fac12000568744e""}]"
ObjectId(575d73f11e838700114d5e7e),"","[{""$oid"":""575c15557fac12000568745e""},{""$oid"":""575c15557fac12000568744f""},{""$oid"":""575c15557fac120005687459""},{""$oid"":""575c15557fac120005687466""},{""$oid"":""575c15557fac12000568746c""},{""$oid"":""575c15557fac120005687457""}]"
ObjectId(575d73f61e838700114d5e7f),"","[{""$oid"":""575c15557fac12000568746a""},{""$oid"":""575c15557fac12000568746f""},{""$oid"":""575c15547fac12000568744b""},{""$oid"":""575c15557fac12000568745a""},{""$oid"":""575c15557fac12000568747b""},{""$oid"":""575c15557fac120005687462""}]"
ObjectId(575d73f61e838700114d5e80),"","[{""$oid"":""575c15557fac120005687470""},{""$oid"":""575c15557fac12000568747a""},{""$oid"":""575c15557fac120005687451""},{""$oid"":""575c15557fac12000568746d""},{""$oid"":""575c15547fac12000568744c""},{""$oid"":""575c15557fac120005687477""}]"
ObjectId(575d73f61e838700114d5e81),"","[{""$oid"":""575c15557fac120005687479""},{""$oid"":""575c15557fac120005687463""},{""$oid"":""575c6666cb4d3f00055cca42""},{""$oid"":""575c15557fac12000568747c""},{""$oid"":""575c15557fac120005687461""},{""$oid"":""575c15557fac120005687464""}]"
ObjectId(575d73f61e838700114d5e82),"","[{""$oid"":""575c15557fac120005687450""},{""$oid"":""575c15557fac120005687475""},{""$oid"":""575c15557fac120005687468""},{""$oid"":""575c15557fac120005687476""},{""$oid"":""575c15557fac120005687474""},{""$oid"":""575c15557fac12000568745f""}]"
