_id,user,sequence
ObjectId(576b0e6c2e782e00057652b5),"","[{""$oid"":""575c15557fac120005687473""},{""$oid"":""575c15557fac120005687462""},{""$oid"":""575c15557fac120005687466""},{""$oid"":""575c15557fac120005687458""},{""$oid"":""575c15557fac120005687472""},{""$oid"":""575c15557fac12000568745e""}]"
ObjectId(576b0e6c2e782e00057652b6),"","[{""$oid"":""575c15557fac120005687450""},{""$oid"":""575c6666cb4d3f00055cca42""},{""$oid"":""575c15557fac120005687459""},{""$oid"":""575c15557fac120005687464""},{""$oid"":""575c15557fac12000568747a""},{""$oid"":""575c15557fac120005687466""}]"
ObjectId(576b0e6c2e782e00057652b7),"","[{""$oid"":""575c15557fac120005687468""},{""$oid"":""575c15557fac12000568747c""},{""$oid"":""575c15557fac12000568744e""},{""$oid"":""575c15557fac120005687472""},{""$oid"":""575c15557fac12000568745d""},{""$oid"":""575c15557fac120005687474""}]"
ObjectId(576b0e6c2e782e00057652b8),"","[{""$oid"":""575c15557fac120005687475""},{""$oid"":""575c15557fac12000568745f""},{""$oid"":""575c15557fac120005687451""},{""$oid"":""575c6666cb4d3f00055cca43""},{""$oid"":""575c15557fac12000568746a""},{""$oid"":""575c15557fac12000568746c""}]"
ObjectId(576b0e6c2e782e00057652b9),"","[{""$oid"":""575c15557fac12000568745c""},{""$oid"":""575c15557fac120005687461""},{""$oid"":""575c15557fac120005687453""},{""$oid"":""575c15557fac120005687469""},{""$oid"":""575c15557fac120005687454""},{""$oid"":""575c15557fac12000568746f""}]"
ObjectId(576b0e6c2e782e00057652ba),"","[{""$oid"":""575c15547fac12000568744b""},{""$oid"":""575c15557fac120005687463""},{""$oid"":""575c15557fac120005687470""},{""$oid"":""575c15557fac12000568746d""},{""$oid"":""575c15557fac12000568745b""},{""$oid"":""575c15557fac12000568745e""}]"
ObjectId(576b0e6c2e782e00057652bb),"","[{""$oid"":""575c15557fac120005687458""},{""$oid"":""575c15557fac120005687460""},{""$oid"":""575c15557fac120005687465""},{""$oid"":""575c15557fac120005687473""},{""$oid"":""575c15557fac120005687471""},{""$oid"":""575c15557fac12000568744d""}]"
ObjectId(576b0e6c2e782e00057652bc),"","[{""$oid"":""575c15557fac120005687478""},{""$oid"":""575c15557fac120005687452""},{""$oid"":""575c15557fac120005687476""},{""$oid"":""575c15557fac12000568747b""},{""$oid"":""575c15557fac12000568745a""},{""$oid"":""575c15557fac12000568746b""}]"
ObjectId(576b0e6c2e782e00057652bd),"","[{""$oid"":""575c15547fac12000568744c""},{""$oid"":""575c15557fac12000568746e""},{""$oid"":""575c15557fac120005687467""},{""$oid"":""575c15557fac120005687479""},{""$oid"":""575c15557fac120005687462""},{""$oid"":""575c15557fac120005687477""}]"
ObjectId(576b0e6c2e782e00057652be),"","[{""$oid"":""575c15557fac12000568744f""},{""$oid"":""575c15557fac120005687457""},{""$oid"":""575c15557fac120005687468""},{""$oid"":""575c15557fac12000568745a""},{""$oid"":""575c15557fac12000568746b""},{""$oid"":""575c15557fac12000568746e""}]"
